id,product_name,vendor,price_per_unit
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
3334,Dempster's Enriched White Bread 675 g,Voila,0.591
